id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1333,Moon Store Market,moon-store-market,A,"Moon Store Market, G.Şıxbala küçəsi",62,39.93524,48.90836,1,0,0,0,0,,,,
1334,"Laçın Market, Taxta Körpü qəsəbəsi",lachin-market,A,"Laçın Market, Taxta Körpü qəsəbəsi",39,40.10227,47.53092,1,0,0,0,0,,,,
1335,"Oba Market, Həsənqaya kəndi",oba-market-hasangaya,A,"Oba Market, Həsənqaya kəndi",12,40.34831,46.93566,1,0,0,0,0,,,,
1336,Qalağayın Dairəsi Market,qalagayin-dairasi-market,A,"Qalağayın Dairəsi Market, A. Səhhət küçəsi",50,39.97784,48.46177,1,0,0,0,0,,,,
1337,Şirvan Ticarət Mərkəzi,shirvan-ticaret-markazi,A,"Şirvan Ticarət Mərkəzi, M.Ə.Rəsulzadə prospekti",62,39.96074,48.94821,1,0,0,0,0,,,,
1338,Lyuks Ev,lyuks-ev,A,"Lyuks Ev, Sülh küçəsi 1",55,40.5696,49.6381,1,0,0,0,0,,,,
1339,"Araz Market, Koroğlu prospekti 2",araz-market-koroglu,A,"Araz Market, 9-cu mikrorayon Üzeyir Hacıbəyov və Koroğlu küçələrinin kəsişməsi",55,40.5705,49.69009,1,0,0,0,0,,,,
1340,"Araz Market, Koroğlu prospekti",araz-market-koroglu-pr,A,"Araz Market, 41A mehelle, Koroğlu prospekti",55,40.56722,49.68493,1,0,0,0,0,,,,
1341,"Qala Market, Qala qəsəbəsi",qala-marke-2,A,"Qala Market, Qala qəsəbəsi",1,40.48932,50.1143,1,0,0,0,0,,,,
1342,3 saylı Dost Mərkəzi,3-sayli-dost-markazi,A,3 saylı Dost Mərkəzi,1,40.41922,49.90649,1,0,0,0,0,,,,
1343,"Oba Market,Gəncə",oba-market-ganja,A,"Oba Market, Totanlı küçəsi 2 ",20,40.66074,46.33915,1,0,0,0,0,,,,
1344,"Araz Market, Yeni Suraxanı",araz-market-yeni-suraxani,A,"Araz Market, Yeni Suraxanı qəsəbəsi, 14 İyul küçəsi 24A",1,40.42747,50.0375,1,0,0,0,0,,,,
1345,"Araz Market, Neftçilər",araz-market-neftchilar,A,"Araz Market, Bakı rayonu, C.Naxçıvanski küçəsi, 90 nömrəli binanın 1-ci mərtəbəsi",1,40.40578,49.9554,1,0,0,0,0,,,,
